PERMNO,date,TICKER,PRC,VOL,RET
90448,2022-06-08,GLD,172.78000,5140816,-0.000925
90448,2022-06-09,GLD,172.23000,4701143,-0.003183
90448,2022-06-10,GLD,174.53999,16856138,0.013412
90448,2022-06-13,GLD,169.92999,13265243,-0.026412
90448,2022-06-14,GLD,168.57001,7347935,-0.008003
90448,2022-06-15,GLD,170.77000,9000294,0.013051
90448,2022-06-16,GLD,172.69000,8823558,0.011243
90448,2022-06-17,GLD,171.27000,7407223,-0.008223
90448,2022-06-21,GLD,170.63000,5608485,-0.003737
90448,2022-06-22,GLD,171.31000,6558656,0.003985
90448,2022-06-23,GLD,170.25999,6535261,-0.006129
90448,2022-06-24,GLD,170.09000,6143081,-0.000998
90448,2022-06-27,GLD,169.89999,5719684,-0.001117
90448,2022-06-28,GLD,169.62000,2984450,-0.001648
90448,2022-06-29,GLD,169.49001,4785576,-0.000766
90448,2022-06-30,GLD,168.46001,9144391,-0.006077
90448,2022-07-01,GLD,168.32001,11380332,-0.000831
90448,2022-07-05,GLD,164.75000,14035426,-0.021210
90448,2022-07-06,GLD,162.14000,11861144,-0.015842
90448,2022-07-07,GLD,162.23000,4588418,0.000555
90448,2022-07-08,GLD,162.30000,4584112,0.000432
90448,2022-07-11,GLD,161.42999,4321663,-0.005361
90448,2022-07-12,GLD,160.83000,5375081,-0.003717
90448,2022-07-13,GLD,161.60001,8456636,0.004788
90448,2022-07-14,GLD,159.33000,12213614,-0.014047
90448,2022-07-15,GLD,159.00999,6783785,-0.002008
90448,2022-07-18,GLD,159.16000,5791779,0.000943
90448,2022-07-19,GLD,159.53999,3796198,0.002387
90448,2022-07-20,GLD,158.03999,4795846,-0.009402
90448,2022-07-21,GLD,160.27000,5863333,0.014110
90448,2022-07-22,GLD,160.67000,5733753,0.002496
90448,2022-07-25,GLD,160.23000,3713368,-0.002739
90448,2022-07-26,GLD,160.03999,2672764,-0.001186
90448,2022-07-27,GLD,161.67000,5709082,0.010185
90448,2022-07-28,GLD,163.64000,5606353,0.012185
90448,2022-07-29,GLD,164.10001,7537307,0.002811
90448,2022-08-01,GLD,165.03000,4666912,0.005667
90448,2022-08-02,GLD,164.05000,5725388,-0.005938
90448,2022-08-03,GLD,164.45000,4417759,0.002438
90448,2022-08-04,GLD,167.17000,5502000,0.016540
90448,2022-08-05,GLD,165.28999,6023291,-0.011246
90448,2022-08-08,GLD,166.69000,3457314,0.008470
90448,2022-08-09,GLD,167.20000,3205505,0.003060
90448,2022-08-10,GLD,166.78000,4077274,-0.002512
90448,2022-08-11,GLD,166.34000,4445977,-0.002638
90448,2022-08-12,GLD,167.87000,5151653,0.009198
90448,2022-08-15,GLD,165.71001,5236292,-0.012867
90448,2022-08-16,GLD,165.42000,4291529,-0.001750
90448,2022-08-17,GLD,164.35001,5569071,-0.006468
90448,2022-08-18,GLD,163.92000,3646087,-0.002616
90448,2022-08-19,GLD,162.72000,8172954,-0.007321
90448,2022-08-22,GLD,161.64000,4458113,-0.006637
90448,2022-08-23,GLD,162.77000,4425075,0.006991
90448,2022-08-24,GLD,163.25000,3202411,0.002949
90448,2022-08-25,GLD,163.75000,2857488,0.003063
90448,2022-08-26,GLD,161.75999,6689259,-0.012153
90448,2022-08-29,GLD,161.86000,4702256,0.000618
90448,2022-08-30,GLD,160.50999,4856576,-0.008341
90448,2022-08-31,GLD,159.27000,5438641,-0.007725
90448,2022-09-01,GLD,157.87000,7390755,-0.008790
90448,2022-09-02,GLD,159.25999,5196908,0.008805
90448,2022-09-06,GLD,158.33000,4863819,-0.005839
90448,2022-09-07,GLD,159.94000,3981410,0.010169
90448,2022-09-08,GLD,158.98000,4607118,-0.006002
90448,2022-09-09,GLD,159.82001,3927788,0.005284
90448,2022-09-12,GLD,160.63000,4537530,0.005068
90448,2022-09-13,GLD,158.53999,6526388,-0.013011
90448,2022-09-14,GLD,157.92999,6091085,-0.003848
90448,2022-09-15,GLD,154.98000,13181203,-0.018679
90448,2022-09-16,GLD,155.84000,7141210,0.005549
90448,2022-09-19,GLD,155.96001,5582767,0.000770
90448,2022-09-20,GLD,155.07001,5943724,-0.005707
90448,2022-09-21,GLD,155.78999,7816071,0.004643
90448,2022-09-22,GLD,155.70000,5975237,-0.000578
90448,2022-09-23,GLD,153.00999,9597991,-0.017277
90448,2022-09-26,GLD,151.23000,8240501,-0.011633
90448,2022-09-27,GLD,151.53999,7151310,0.002050
90448,2022-09-28,GLD,154.69000,8977243,0.020787
90448,2022-09-29,GLD,154.66000,6317021,-0.000194
90448,2022-09-30,GLD,154.67000,6832430,0.000065
90448,2022-10-03,GLD,158.42999,10362232,0.024310
90448,2022-10-04,GLD,160.70000,8024496,0.014328
90448,2022-10-05,GLD,159.81000,5296309,-0.005538
90448,2022-10-06,GLD,159.63000,5712627,-0.001126
90448,2022-10-07,GLD,157.88000,5030041,-0.010963
90448,2022-10-10,GLD,155.48000,6110794,-0.015201
90448,2022-10-11,GLD,155.16000,5306673,-0.002058
90448,2022-10-12,GLD,155.99001,3998472,0.005349
90448,2022-10-13,GLD,154.91000,7083767,-0.006924
90448,2022-10-14,GLD,152.98000,5474648,-0.012459
90448,2022-10-17,GLD,153.42000,4348044,0.002876
90448,2022-10-18,GLD,153.75000,4528441,0.002151
90448,2022-10-19,GLD,151.69000,8257060,-0.013398
90448,2022-10-20,GLD,151.45000,5019849,-0.001582
90448,2022-10-21,GLD,154.14999,6898351,0.017828
90448,2022-10-24,GLD,153.64999,4673274,-0.003244
90448,2022-10-25,GLD,154.00000,3434053,0.002278
90448,2022-10-26,GLD,154.98000,4451056,0.006364
90448,2022-10-27,GLD,154.74001,3654871,-0.001549
90448,2022-10-28,GLD,153.16000,4645440,-0.010211
90448,2022-10-31,GLD,151.91000,6097760,-0.008161
90448,2022-11-01,GLD,153.46001,4603597,0.010203
90448,2022-11-02,GLD,152.39000,7220403,-0.006973
90448,2022-11-03,GLD,151.81000,5378810,-0.003806
90448,2022-11-04,GLD,156.47000,7691954,0.030696
90448,2022-11-07,GLD,155.85001,4425710,-0.003962
90448,2022-11-08,GLD,159.45000,11299635,0.023099
90448,2022-11-09,GLD,158.64999,6040627,-0.005017
90448,2022-11-10,GLD,163.48000,9939858,0.030444
90448,2022-11-11,GLD,164.56000,4622422,0.006606
90448,2022-11-14,GLD,164.92000,6187552,0.002188
90448,2022-11-15,GLD,165.50000,9903495,0.003517
90448,2022-11-16,GLD,165.12000,3645845,-0.002296
90448,2022-11-17,GLD,163.92000,4578129,-0.007267
90448,2022-11-18,GLD,162.78999,4321075,-0.006894
90448,2022-11-21,GLD,161.88000,4766512,-0.005590
90448,2022-11-22,GLD,162.07001,3203837,0.001174
90448,2022-11-23,GLD,163.08000,4167005,0.006232
90448,2022-11-25,GLD,163.22000,1436508,0.000858
90448,2022-11-28,GLD,161.92999,4053918,-0.007903
90448,2022-11-29,GLD,162.73000,2620637,0.004940
90448,2022-11-30,GLD,164.81000,4874746,0.012782
90448,2022-12-01,GLD,167.84000,8625780,0.018385
90448,2022-12-02,GLD,167.25999,5185941,-0.003456
90448,2022-12-05,GLD,164.39000,5436175,-0.017159
90448,2022-12-06,GLD,164.84000,3597758,0.002737
90448,2022-12-07,GLD,166.33000,4610697,0.009039
90448,2022-12-08,GLD,166.47000,3217874,0.000842
90448,2022-12-09,GLD,167.06000,5431272,0.003544
90448,2022-12-12,GLD,165.67999,3504409,-0.008261
90448,2022-12-13,GLD,168.50999,6750199,0.017081
90448,2022-12-14,GLD,168.10001,5642965,-0.002433
90448,2022-12-15,GLD,165.35001,8370909,-0.016359
90448,2022-12-16,GLD,166.78999,5371967,0.008709
90448,2022-12-19,GLD,166.32001,3940525,-0.002818
90448,2022-12-20,GLD,169.08000,7803118,0.016594
90448,2022-12-21,GLD,168.80000,3990060,-0.001656
90448,2022-12-22,GLD,166.75999,5672656,-0.012085
90448,2022-12-23,GLD,167.25999,2912300,0.002998
90448,2022-12-27,GLD,168.67000,6885715,0.008430
90448,2022-12-28,GLD,167.91000,3662456,-0.004506
90448,2022-12-29,GLD,168.85001,3345874,0.005598
90448,2022-12-30,GLD,169.64000,2864455,0.004679
90448,2023-01-03,GLD,171.06000,7992927,0.008371
90448,2023-01-04,GLD,172.67000,7574633,0.009412
90448,2023-01-05,GLD,170.52000,4692610,-0.012451
90448,2023-01-06,GLD,173.71001,7888954,0.018707
90448,2023-01-09,GLD,174.10001,5134503,0.002245
90448,2023-01-10,GLD,174.74001,4398411,0.003676
90448,2023-01-11,GLD,174.62000,3374201,-0.000687
90448,2023-01-12,GLD,176.64000,6936919,0.011568
90448,2023-01-13,GLD,178.75999,7468768,0.012002
90448,2023-01-17,GLD,177.59000,6610834,-0.006545
90448,2023-01-18,GLD,177.08000,5384664,-0.002872
90448,2023-01-19,GLD,179.89000,6678687,0.015869
90448,2023-01-20,GLD,179.28999,5754818,-0.003335
90448,2023-01-23,GLD,179.63000,5265507,0.001896
